Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Wukong,373,347,79%,212,161,57%,3.5,4.9,32:05:00,5.3,329,337,-7,-135,-219
Zeri,250,453,77%,130,120,52%,4.7,3.8,31:51:00,9.3,617,436,1.9,-86,-32
Gnar,443,229,74%,227,216,51%,2.9,6.1,31:34:00,8.3,534,402,6.9,228,136
Seraphine,140,525,73%,76,64,54%,4.4,3.8,31:54:00,7.6,416,366,-6.3,-370,-124
Kalista,249,413,73%,145,104,58%,4.4,3.7,31:10:00,9.3,467,460,11.2,691,277
Corki,220,383,66%,116,104,53%,4,4.7,32:18:00,9.4,819,451,6,268,78
Renata Glasc,265,325,65%,151,114,57%,4.2,5.3,31:37:00,0.8,172,244,-6.3,50,20
Azir,241,303,60%,123,118,51%,3.4,5.3,32:12:00,9.1,677,422,5.6,158,247
Sylas,220,290,56%,115,105,52%,3.6,5.6,31:49:00,8.2,520,397,-3.8,-98,5
Gangplank,202,303,56%,101,101,50%,3.2,5.8,32:04:00,8.6,660,450,-0.5,457,-53
Ahri,208,241,49%,112,96,54%,4.8,5.7,31:41:00,8.5,547,398,-0.3,-33,-6
Viego,294,126,46%,149,145,51%,3.5,6.5,31:28:00,5.7,297,345,5.2,135,160
Nautilus,275,141,46%,136,139,49%,2.5,7.5,31:36:00,1.1,141,231,4.4,-42,-63
Senna,149,263,45%,77,72,52%,4.6,3.9,32:16:00,1.8,469,312,-1.4,660,304
Yuumi,130,268,44%,56,74,43%,5,4.7,31:00:00,0.2,265,232,-13.4,-289,176
Lucian,115,281,44%,56,59,49%,3.4,4,32:31:00,8.9,569,419,4,-29,-56
Gwen,166,199,40%,86,80,52%,2.5,6.5,32:19:00,8.2,499,393,-4.3,-350,-182
Volibear,188,175,40%,85,103,45%,3,5.2,31:38:00,4.9,295,315,-1.7,-2,-80
Aphelios,293,69,40%,159,134,54%,3.6,5.2,31:49:00,9.2,571,433,2.5,49,24
Trundle,174,154,36%,82,92,47%,3.3,6.9,32:04:00,4.8,255,315,-7.6,-245,-279
Taliyah,136,173,34%,69,67,51%,3.6,4.9,31:42:00,8.6,599,405,-4,-136,-52
Ornn,167,142,34%,88,79,53%,3.4,7.4,31:50:00,7.1,396,340,-8.4,-545,-167
Poppy,135,152,32%,74,61,55%,3.5,5.4,32:39:00,5,244,309,-2.5,-218,-118
Tahm Kench,190,88,31%,95,95,50%,2.9,6.5,32:07:00,3.3,191,268,-3.1,-292,-11
Lee Sin,148,111,28%,67,81,45%,3.1,5.5,32:25:00,5.4,289,331,-0.3,17,44
Sejuani,159,86,27%,72,87,45%,2.9,7.8,31:07:00,7.1,406,347,-11.1,-346,-181
Swain,119,121,26%,65,54,55%,3.9,5.8,31:53:00,7.8,543,373,-6.2,-166,-107
Ezreal,138,95,26%,59,79,43%,3.6,6.7,32:31:00,9,739,428,0.5,-245,-29
Lissandra,122,103,25%,68,54,56%,3.2,7,32:06:00,8.3,462,383,1,77,1
Rakan,143,79,24%,77,66,54%,3.9,7.9,31:33:00,1.2,155,241,3.7,-68,-122
Jinx,169,38,23%,73,96,43%,3.3,6.6,31:27:00,9.7,574,443,-0.6,-172,-130
Camille,110,96,23%,57,53,52%,2.8,7.3,32:06:00,7.7,489,401,-2.5,79,35
Belveth,73,121,21%,39,34,53%,3.5,4.2,30:06:00,6.5,338,382,10.1,472,284
Amumu,132,47,20%,67,65,51%,2.3,6.9,31:10:00,1.1,180,237,5.3,-35,-99
Lulu,107,67,19%,44,63,41%,4,7.6,32:16:00,0.6,118,227,-1.6,-106,-37
Xin Zhao,121,52,19%,56,65,46%,2.5,7.5,32:21:00,5.5,352,331,-0.1,-35,75
Fiora,38,120,17%,16,22,42%,1.9,5.9,32:30:00,8.3,471,395,-2,-107,-34
Twitch,79,78,17%,37,42,47%,3.7,5.2,31:53:00,8.1,598,408,-11.6,-315,-221
Viktor,103,54,17%,38,65,37%,2.7,7.2,32:31:00,8.9,708,407,2.2,-58,-46
Akali,68,73,16%,35,33,51%,3.4,6.2,31:03:00,7.9,555,398,0.4,45,182
Yone,75,66,16%,35,40,47%,2.6,6.7,31:38:00,8.8,549,416,1.8,139,201
Draven,52,84,15%,27,25,52%,3.4,4.6,32:26:00,8.8,543,475,2.8,782,75
Karma,56,74,14%,20,36,36%,2.5,5.4,32:49:00,2.7,286,258,-6.9,-303,-318
Braum,81,47,14%,30,51,37%,2.6,8.4,31:36:00,1.1,161,227,3.4,-98,-68
Kayle,42,84,14%,21,21,50%,2.8,7.3,31:53:00,9.6,522,440,0.4,-258,4
Gragas,77,32,12%,33,44,43%,2.5,7,31:19:00,7.1,482,355,-7.2,-255,-148
